Thu Nov 03 20:03:53 EDT 2016 ----------------------------------------- 
MaxFitness: 3224.5Sat Nov 05 22:30:53 EDT 2016 ----------------------------------------- 
0,110.5
1,142.5
2,131.5
3,131.5
4,131.5
5,214.5
6,338.0
7,158.0
8,133.0
9,224.0
10,202.0
11,191.0
12,698.5
13,357.0
14,135.0
15,622.0
16,335.0
17,300.5
18,493.5
19,251.0
20,218.5
21,2661.5
22,328.5
23,1036.0
24,2123.5
MaxFitness: 2661.5Sat Nov 05 22:37:20 EDT 2016 ----------------------------------------- 
0,133.0
1,190.5
2,267.5
3,212.0
4,361.5
5,189.5
6,244.0
7,185.0
8,143.0
9,564.0
10,194.5
11,134.0
12,259.5
13,491.5
14,431.0
15,199.0
16,330.0
17,359.0
18,329.0
19,198.5
20,331.0
21,184.5
22,331.0
23,188.5
24,262.0
MaxFitness: 564.0Sat Nov 05 22:41:01 EDT 2016 ----------------------------------------- 
0,83.5
1,125.0
2,126.5
3,219.5
4,142.5
5,138.5
6,325.5
7,140.0
8,270.0
9,347.5
10,279.5
11,197.5
12,198.0
13,290.5
14,140.0
15,196.0
16,275.0
17,377.5
18,432.0
19,264.0
20,1133.5
21,2392.5
22,588.5
23,860.0
24,1573.0
MaxFitness: 2392.5Sat Nov 05 22:47:45 EDT 2016 ----------------------------------------- 
0,182.5
1,113.5
2,182.5
3,182.5
4,182.5
5,191.5
6,133.0
7,133.0
8,133.0
9,133.0
10,182.5
11,322.0
12,182.5
13,214.5
14,133.0
15,148.5
16,200.0
17,273.5
18,162.0
19,180.0
20,195.0
21,199.5
22,208.0
23,198.0
24,329.5
MaxFitness: 329.5Sat Nov 05 22:50:24 EDT 2016 ----------------------------------------- 
0,131.5
1,133.0
2,132.0
3,188.5
4,133.0
5,134.0
6,134.0
7,192.5
8,195.5
9,134.0
10,188.5
11,196.5
12,262.5
13,180.0
14,467.5
15,195.5
16,269.0
17,869.0
18,2137.5
19,988.5
20,1223.0
21,1274.0
22,2738.5
23,382.0
24,1655.0
MaxFitness: 2738.5Thu Nov 10 13:43:51 EST 2016 ----------------------------------------- 
Wed Nov 23 17:52:53 EST 2016 ----------------------------------------- 
0,23.0
1,113.0
2,113.0
3,231.5
4,420.5
5,128.0
6,170.0
7,203.0
8,169.5
9,210.0
10,202.0
11,270.0
12,133.0
13,269.5
14,202.0
15,270.0
16,181.5
17,251.0
18,251.0
19,502.0
20,178.5
Wed Nov 23 17:55:32 EST 2016 ----------------------------------------- 
0,132.5
1,132.5
2,133.0
3,200.5
4,539.5
5,269.0
6,207.0
7,132.5
8,326.0
9,144.5
10,217.0
11,1782.0
12,444.0
13,326.0
14,206.5
15,517.0
16,187.0
17,250.5
18,458.5
19,2076.5
20,1191.5
21,406.0
22,307.5
23,177.0
Fri Nov 25 11:28:59 EST 2016 ----------------------------------------- 
0,23.0
1,109.5
2,111.5
3,129.0
4,131.5
5,134.0
6,2885.5
7,1800.0
8,2144.0
Fri Dec 02 11:31:50 EST 2016 ----------------------------------------- 
0,144.0
1,199.0
2,197.0
3,193.0
4,193.0
5,202.5
6,268.0
7,393.0
8,208.0
9,154.5
Fri Dec 02 11:33:19 EST 2016 ----------------------------------------- 
0,124.5
1,188.5
2,200.0
3,198.5
4,188.5
5,198.5
6,200.5
7,326.5
Fri Dec 02 11:37:38 EST 2016 ----------------------------------------- 
0,132.5
1,316.5
2,133.0
3,133.0
4,130.5
5,272.5
6,135.5
7,251.5
8,182.5
9,576.5
10,1114.0
Mon Dec 05 20:49:46 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
3,23.0
4,23.0
5,141.5
6,134.0
7,140.0
8,126.5
9,125.5
10,140.5
11,143.5
12,136.0
13,533.0
14,297.5
15,3195.0
16,262.5
17,1554.0
Mon Dec 05 22:38:03 EST 2016 ----------------------------------------- 
0,137.5
Mon Dec 05 22:38:45 EST 2016 ----------------------------------------- 
0,101.5
1,111.0
2,101.5
3,101.5
4,101.5
5,101.5
6,131.5
7,131.5
8,134.0
9,390.5
10,335.0
Mon Dec 05 22:39:50 EST 2016 ----------------------------------------- 
0,86.0
1,129.0
2,134.0
3,133.0
4,134.0
5,130.5
6,132.5
7,132.5
8,134.0
9,133.0
10,135.0
Mon Dec 05 22:41:24 EST 2016 ----------------------------------------- 
0,23.0
Mon Dec 05 22:41:42 EST 2016 ----------------------------------------- 
0,0.0
Mon Dec 05 22:41:50 EST 2016 ----------------------------------------- 
0,0.0
Mon Dec 05 22:42:10 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
Mon Dec 05 22:43:06 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
3,23.0
Mon Dec 05 22:43:26 EST 2016 ----------------------------------------- 
Mon Dec 05 22:44:29 EST 2016 ----------------------------------------- 
Mon Dec 05 22:44:43 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
3,23.0
4,23.0
5,23.0
6,23.0
7,23.0
8,23.0
Mon Dec 05 22:45:23 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
Mon Dec 05 22:45:46 EST 2016 ----------------------------------------- 
0,23.0
1,23.0
2,23.0
3,23.0
4,23.0
5,23.0
6,23.0
7,23.0
8,23.0
9,23.0
10,23.0
11,23.0
12,23.0
13,23.0
Wed Dec 07 17:28:36 EST 2016 ----------------------------------------- 
0,23.0
Wed Dec 07 17:29:14 EST 2016 ----------------------------------------- 
0,132.5
1,132.5
2,206.0
3,203.0
4,198.0
5,334.5
6,188.0
7,476.5
8,930.0
9,409.5
10,1174.5
11,535.0
12,608.0
13,661.5
14,3345.5
